roll_no,name,dob,email,address
1,Jolie Lygo,11/23/1998,jlygo0@constantcontact.com,622 Derek Drive
2,Kellen Killiner,2/11/1999,kkilliner1@ning.com,0 Scofield Point
3,Rickie Texton,7/21/1997,rtexton2@ifeng.com,3356 Cordelia Terrace
4,Kelli Gofton,5/7/1998,kgofton3@sohu.com,4376 Beilfuss Road
5,Jacklyn Ellison,9/22/1998,jellison4@about.me,465 Clyde Gallagher Alley
6,Philippe Chitson,9/4/1999,pchitson5@tamu.edu,71 Burning Wood Avenue
7,Bartholomeus Huchot,5/16/1996,bhuchot6@salon.com,9172 Namekagon Parkway
8,Vin Manby,6/10/1997,vmanby7@1688.com,21 Ilene Street
9,Hewet Hamm,3/19/1997,hhamm8@google.nl,0 Larry Junction
10,Clyve Seakin,4/15/1995,cseakin9@ocn.ne.jp,3 Stang Drive
